time	CFTR	Lane Acc	#c_id	mean_theta	majority_ST	mean_theta_base	mean_theta_norm
4	CF	ERR11840966	IPC_1270	0.333237	27	0.0952939	3.496939468318539
4	CF	ERR11840967	IPC_1270	0.242403	27	0.0952939	2.543740994964001
4	WT	ERR11840963	IPC_109	0.0344561	27	0.01400845	2.459665416230918
4	CF	ERR11840966	IPC_109	0.0579255	27	0.0270359	2.142540104083829
4	WT	ERR11840964	IPC_109	0.0284579	27	0.01400845	2.0314809989684797
2	CF	ERR11840961	IPC_1264	0.0913678	235	0.046878552	1.9490320434812065
2	WT	ERR11840974	IPC_871	0.0469572	111	0.02471115	1.900243412386716
4	CF	ERR11840967	IPC_1264	0.0851474	235	0.046878552	1.8163402316692718
4	WT	ERR11840964	IPC_871	0.0442798	111	0.02471115	1.7918955613154386
2	CF	ERR11840961	IPC_871	0.0429492	111	0.0244864	1.754002221641401
2	WT	ERR11840973	IPC_871	0.0431198	111	0.02471115	1.744953189147409
4	WT	ERR11840963	IPC_1270	0.149635	27	0.0857815	1.7443737868887814
2	CF	ERR11840960	IPC_1264	0.0816642	235	0.046878552	1.7420375953591742
2	CF	ERR11840960	IPC_871	0.041207	111	0.0244864	1.6828525222164141
2	WT	ERR11840974	IPC_109	0.0233202	27	0.01400845	1.6647237917114313
4	CF	ERR11840967	IPC_871	0.0405457	111	0.0244864	1.6558456939362258
4	CF	ERR11840966	IPC_1264	0.0745882	235	0.046878552	1.5910943665666124
2	CF	ERR11840961	IPC_1270	0.145617	27	0.0952939	1.528083119696014
4	WT	ERR11840964	IPC_1270	0.126626	27	0.0857815	1.4761457890104508
4	CF	ERR11840967	IPC_710	0.0253913	111	0.01852335	1.3707725654376772
4	WT	ERR11840963	IPC_1264	0.138454	235	0.10334125	1.3397747753196327
2	WT	ERR11840974	IPC_1270	0.113314	27	0.0857815	1.3209608132289596
4	CF	ERR11840967	IPC_109	0.0351517	27	0.0270359	1.3001860489201396
2	WT	ERR11840973	IPC_1177	0.0218368	235	0.016905499999999997	1.2916979681168852
4	WT	ERR11840963	IPC_871	0.0306644	111	0.02471115	1.2409135147494148
2	WT	ERR11840973	IPC_1270	0.101232	27	0.0857815	1.1801145934729518
2	CF	ERR11840960	IPC_1182	0.402874	235	0.3442025	1.1704563447389253
4	CF	ERR11840966	IPC_871	0.0285849	111	0.0244864	1.1673786265028752
4	CF	ERR11840967	IPC_1293	0.0161263	235	0.013876349999999999	1.1621427825040447
2	WT	ERR11840974	IPC_1264	0.117211	235	0.10334125	1.1342131046411768
2	CF	ERR11840960	IPC_1270	0.10548	27	0.0952939	1.1068914169742239
2	WT	ERR11840973	IPC_1182	0.397516	235	0.35917750000000004	1.1067397039068425
2	CF	ERR11840960	IPC_710	0.0204779	111	0.01852335	1.1055181703093662
